"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","gen.time","n.vr","n.pam","dens","biotic_interactions","mat","lambda.sim","study.length"
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0108880673983708,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.00184381962005871,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0163637350159523,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0127327584389207,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0035734640474478,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.00785070740450107,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0326336523644185,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.00811065932550321,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.011208957694629,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0137388616544531,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.00719551616855693,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.00869428315504402,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.00865700347475474,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0110204306890066,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0546909507179396,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0109611619686385,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0266868891777842,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0146913096146981,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0207480258470487,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.014517173219069,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0056728671595902,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0254227941099061,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0273578964663782,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0133614188895233,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.012943392147301,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.00951434312697576,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0109895297703603,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.00718802184325412,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.029665556327921,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.00448242874417635,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.022151643346165,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.00589594267402612,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0114909439863043,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.00911632368063401,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0107394913829532,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0219035393560823,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0266416002792855,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0116699162948167,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0170262212770614,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","reproductive","flowering",0.0145681316545332,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.077385015086556,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.037452242554522,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0169742561068514,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0365353345902087,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0436827853407849,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0259041937526387,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0591267103460591,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0273793981141775,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0215737619629319,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0390581094251068,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0304361995084348,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.016248912406278,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0407459853979586,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.11832440097914,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0197935845991129,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0326530119572078,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0395867217191209,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0961128004650743,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0179041085198653,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0371440485073988,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0462547003759232,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0205497990159468,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0207234388553607,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0158781662687458,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0182146143978421,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.102272486167263,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0331508309759533,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.021957288587887,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0282197821298471,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0244073879265847,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.036086652162722,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0194483534132557,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0139308118587778,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0294580677494424,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0305696018521447,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0323600736984885,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.035626377822696,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0197359262137547,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0264103732152471,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.023793446371976,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0465958854007009,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0127189495610103,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0765534282688688,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.033396170591022,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.022305921430412,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0263816460399444,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0813527377268291,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0219131163239638,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0383878455866842,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0299597634460984,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0183325616884728,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0227653188454256,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0194765622360246,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0633635455980757,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.00879069600332898,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0346903563794206,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.032257377285836,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0330065715202168,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0116664414751449,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0137440428982753,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0293821769466918,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.103888086859948,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0312048948311873,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0414854609911482,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.164918195481424,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0324001193938504,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0385039839996685,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0310673938360093,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0646126165363691,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0295840488029311,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0163266334264874,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.034960891342734,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0359435044586581,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0307646301061596,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0205215566089863,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0202987802206696,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0426702456999018,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0170977582673454,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0705747878174856,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0372155404106916,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0285863189362216,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0197119622809919,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0433901781880271,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0780786308844023,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0487490263785565,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0329427867100571,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0331694285513504,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0202260933059654,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0332566884679675,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0203720699109635,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.026738378685675,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.015907074696919,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0442402258851676,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0209462478657579,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0116708963038428,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0287056264182437,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.138156201324057,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0571339791485922,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0415062533632486,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","non-reproductive","survival",0.0375096289923303,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0502267457598981,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0513786905603026,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0273358126190807,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.021595672256971,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0562888047223823,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.014174001627558,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0122024915699774,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0184412018746863,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0793671128673027,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0233099403945113,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0166493102162677,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0226386268039024,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0485002824869914,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0373107215553027,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0253350513265368,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0234960353861372,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0293867214021547,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0193701654423395,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0188926483031637,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0167176455653599,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0377048663807961,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0229965813571645,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0366684729488132,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.049921026014418,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0348326274933001,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.045796006614059,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0268103617299147,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0155982396013544,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0678516347308198,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.032904583691187,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.015729291095871,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0302030829418541,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0328387352526811,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0787289555203548,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0762801164238013,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0622742286483813,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.0636339711480832,2,5,156,1,0,2,1,11
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","reproductive","survival",0.046134679210038,2,5,156,1,0,2,1,11
